trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.5, 'e': 0.3368895995756471}",20,0,-17.12114719457324,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,0,-5.646134605188806,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.3355447327042427}",35,14,-2.3403681029571475,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.33487431388113026}",30,0,-89.01756295699276,"{0: 20, 1: 7, 2: 0, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.3342052345557199}",20,0,-61.690574322950255,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.33353749205169325}",20,0,-7.135827862904425,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,15,-8.896509750783782,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.3322060068292445}",25,0,-79.3832445605513,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.3315422587848797}",20,0,7.140837121329679,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.3308798369099921}",20,0,-39.301642112474134,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.33021873855489337}",25,2,-3.1226283292194985,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,0,-42.4446180404885,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.3289005018317685}",25,20,9.847556977541355,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.3282433581907938}",20,0,0.25545454290124114,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.3275875275236896}",25,6,-36.27015656496074,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.32693300720713214}",20,3,-19.213650382460855,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,0,-7.727547629397841,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.3256278871585604}",30,0,-50.46426467470742,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.32497728220606403}",30,11,-58.61900391381709,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.3243279771631299}",30,0,-32.78262431437287,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.32367996943253674}",20,0,-34.689411100600026,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.32303325642225295}",25,0,-44.28556725317584,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.32238783554542555}",20,0,-11.34842133626651,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.3217437042203702}",30,0,-31.55714086692065,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.3211008598705607}",25,0,-25.316939145307803,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.3204592999246188}",20,0,-35.754845385965595,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.3198190218163039}",25,3,-43.53019922773267,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.3191800229845027}",30,9,21.034281411229358,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.318542300873219}",25,6,-27.664268676126152,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.31790585293156354}",30,17,8.92611267257887,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.31727067661374364}",25,6,-2.550475263635008,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.3166367693790532}",20,2,15.64916974239305,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.3160041286918625}",35,6,-28.65246268530462,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.31537275202160797}",25,0,-21.749830123083214,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.3147426368427819}",20,13,11.779235384060504,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.31411378063492296}",25,0,-59.986873846898554,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,0,20.775934355282487,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.3128598350754292}",20,8,2.769992778922137,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.31223474070801055}",20,0,3.3452317192713004,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.311610895279971}",20,3,-6.761448528507195,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
